manazana,lot,map_latitude,map_longitude
05,01,1800.3718971631208,1507.0607269503548
05,02,1785.0079787234047,1550.3590425531918
05,03,1761.263741134752,1589.4671985815605
05,04,1744.5031028368799,1638.3523936170216
05,05,1726.3773852938311,1679.9587713871892
05,06,1705.394946808511,1724.9490248226955
05,07,1686.8721819690295,1765.8825886186328
05,08,1670.4769503546104,1811.5456560283692
05,09,1650.3298688935881,1855.7569261825565
05,10,1620.1950354609933,1895.348847517731
05,11,1595.0540780141848,1942.837322695036
05,12,1582.4835992907804,1988.9290780141848
05,13,1562.929521276596,2033.6241134751776
05,14,1542.6781898335037,2075.0108046352057
06,01,1602.037677304965,1470.7460106382982
06,02,1567.1196808510642,1516.8377659574471
06,03,1554.529750830944,1554.529750830944
06,04,1535.7647792516634,1603.9112549869462
06,05,1516.8377659574471,1646.7327127659578
06,06,1497.2836879432627,1694.2211879432627
06,07,1477.7296099290784,1738.9162234042556
06,08,1465.1591312056742,1782.2145390070925
06,09,1434.4312943262414,1825.5128546099295
06,10,1414.877216312057,1873.0013297872345
06,11,1392.5296985815605,1909.3160460992913
06,12,1371.57890070922,1956.8045212765962
06,13,1356.214982269504,2000.102836879433
06,14,1332.4707446808513,2047.591312056738
06,15,1314.313386524823,2089.492907801419
06,16,1233.3036347517732,2054.574911347518
06,17,1251.4609929078017,2011.2765957446813
06,18,1271.015070921986,1960.9946808510642
06,19,1280.7921099290784,1914.9029255319153
06,20,1301.7429078014186,1870.2078900709223
06,21,1321.2969858156032,1828.3062943262414
06,22,1342.2477836879436,1786.4046985815608
06,23,1361.801861702128,1738.9162234042556
06,24,1381.3559397163124,1695.6179078014188
06,25,1402.3067375886528,1653.716312056738
06,26,1419.067375886525,1611.814716312057
06,27,1442.8116134751776,1568.51640070922
06,28,1460.968971631206,1522.4246453900712
06,29,1484.7132092198585,1477.7296099290784
06,30,1502.8705673758868,1435.8280141843975
07,01,1326.8838652482273,1349.2313829787238
07,02,1305.9330673758868,1395.3231382978727
07,03,1283.5855496453903,1440.0181737588655
07,04,1265.428191489362,1486.1099290780144
07,05,1247.2708333333335,1529.4082446808513
07,06,1227.7167553191491,1574.1032801418444
07,07,1205.3692375886528,1614.6081560283692
07,08,1191.4020390070925,1666.2867907801422
07,09,1166.2610815602839,1705.394946808511
07,10,1143.9135638297876,1748.6932624113479
07,11,1124.359485815603,1789.1981382978727
07,12,1103.4086879432627,1836.6866134751776
07,13,1090.8382092198583,1881.3816489361707
07,14,1069.8874113475179,1928.8701241134756
07,15,1044.7464539007094,1963.7881205673764
07,16,1029.382535460993,2011.2765957446813
07,17,1005.6382978723407,2060.1617907801424
07,18,991.6710992907804,2102.0633865248233
07,19,905.0744680851066,2065.7486702127662
07,20,926.025265957447,2025.2437943262416
07,21,942.7859042553193,1977.7553191489367
07,22,966.5301418439718,1934.4570035460997
07,23,980.4973404255321,1888.3652482269508
07,24,1004.2415780141846,1839.4800531914898
07,25,1030.7792553191491,1798.975177304965
07,26,1041.949737691643,1750.0805072887122
07,27,1057.3169326241136,1708.188386524823
07,28,1071.284131205674,1664.890070921986
07,29,1093.6316489361704,1621.5917553191493
07,30,1107.5988475177307,1572.7065602836883
07,31,1139.7234042553193,1536.3918439716315
07,32,1157.8807624113479,1488.9033687943265
07,33,1181.6250000000002,1445.6050531914896
07,34,1191.4020390070925,1399.5132978723407
07,35,1219.3364361702131,1357.6117021276598
07,36,1240.2872340425533,1317.106826241135
08,01,1055.9202127659576,1236.0970744680853
08,02,1039.1595744680853,1277.9986702127662
08,03,1015.4153368794329,1324.0904255319151
08,04,991.6710992907804,1363.1985815602839
08,05,974.910460992908,1412.083776595745
08,06,962.3399822695037,1456.778812056738
08,07,945.5793439716314,1502.8705673758868
08,08,920.4383865248229,1543.3754432624116
08,09,903.6777482269505,1582.4835992907804
08,10,878.536790780142,1628.5753546099295
08,11,860.3794326241136,1677.4605496453903
08,12,842.2220744680852,1717.9654255319153
08,13,811.4942375886526,1759.867021276596
08,14,800.3204787234044,1803.165336879433
08,15,777.9729609929079,1852.050531914894
08,16,761.2123226950356,1892.5554078014188
08,17,733.277925531915,1935.8537234042558
08,18,716.5172872340427,1976.3585992907806
08,19,692.7730496453902,2025.2437943262416
08,20,612.3306515344252,1985.136467071282
08,21,638.3009751773051,1938.6471631205677
08,22,659.2517730496455,1902.3324468085111
08,23,677.4091312056739,1854.8439716312062
08,24,689.9796099290782,1808.752216312057
08,25,712.3271276595746,1759.867021276596
08,26,727.6910460992909,1717.9654255319153
08,27,743.0549645390072,1680.2539893617025
08,28,772.3860815602839,1634.1622340425536
08,29,794.7335992907803,1590.8639184397166
08,30,812.8909574468087,1543.3754432624116
08,31,828.254875886525,1501.4738475177307
08,32,845.0155141843974,1456.778812056738
08,33,865.9663120567378,1413.480496453901
08,34,889.7105496453903,1368.7854609929082
08,35,914.8515070921987,1326.8838652482273
08,36,931.6121453900711,1277.9986702127662
08,37,949.7695035460995,1237.4937943262414
08,38,967.9268617021279,1192.7987588652484




