manazana,lot,map_latitude,map_longitude
01,01,1162.5251525618905,267.59232861698626
01,02,1144.563741795679,307.1113651507198
01,03,1128.498720715475,353.9205481353532
01,04,1086.4472686887107,387.6206925150702
01,05,1076.5094483936414,436.50597167738175
01,06,1044.7464539007092,477.6781914893617
01,07,1031.7583065380493,520.1007502679529
01,08,1013.3084652811618,570.8501880433836
01,09,993.555863618761,612.3306515344252
01,10,967.8774814576399,659.7368955241872
01,11,956.0259204601994,703.192619181469
01,12,940.2238391302787,744.6730826725106
01,13,910.5949366366775,796.0298469947528
01,14,896.768115472997,837.5103104857945
01,15,875.0402536443561,882.9412943093164
01,16,851.337131649475,916.5207171353978
01,17,804.3576776582097,1070.1083591459926
01,18,787.3041579905445,1111.3210316761836
01,19,767.408385044935,1161.0604640402073
01,20,748.9337387382977,1203.6942632093703
01,21,723.3534592367998,1243.4858091005892
01,22,704.8788129301626,1291.8041148256407
01,23,683.561913345581,1334.4379139948037
01,24,663.6661403999716,1378.4928398029388
01,25,642.3492408153901,1418.2843856941577
01,26,623.8745945087527,1462.3393115022927
01,27,610.972076271948,1510.3470898630555
01,28,584.0830486175339,1551.8702897575351
01,29,562.7661490329523,1594.5040889266984
01,30,544.291502726315,1639.9801413738055
01,31,521.5534765027613,1682.6139405429685
01,32,504.49995683509616,1726.6688663511038
01,33,490.28869044537515,1769.3026655202668
01,34,468.9717908607936,1816.1998446063462
01,35,449.0760179151842,1861.6758970534534
01,36,424.91686505265847,1902.8885695836443
02,01,1434.038880690299,359.4973502556948
02,02,1416.2615391941383,404.9283340792167
02,03,1404.409978196698,444.4335374040183
02,04,1385.645006617417,495.79030172626045
02,05,1365.8924049550162,529.3697245523418
02,06,1351.0779537082158,580.726488874584
02,07,1329.3500918795748,622.2069523656256
02,08,1313.5480105496542,671.5884565216277
02,09,1290.5691489361704,716.5172872340427
02,10,1268.221631205674,755.6254432624115
02,11,1249.3520551468514,799.980367327233
02,12,1230.5870835675707,842.4484609013947
02,13,1195.0324005752493,888.8670748080366
02,14,1179.2303192453287,932.3227984653184
02,15,1167.378758247888,977.7537822888403
